,categorical_name,colormap_name,cmap_n_total
0,PerceptuallyUniformSequential,viridis,256
1,PerceptuallyUniformSequential,plasma,256
2,PerceptuallyUniformSequential,inferno,256
3,PerceptuallyUniformSequential,magma,256
4,PerceptuallyUniformSequential,cividis,256
5,Sequential,Greys,256
6,Sequential,Purples,256
7,Sequential,Blues,256
8,Sequential,Greens,256
9,Sequential,Oranges,256
10,Sequential,Reds,256
11,Sequential,YlOrBr,256
12,Sequential,YlOrRd,256
13,Sequential,OrRd,256
14,Sequential,PuRd,256
15,Sequential,RdPu,256
16,Sequential,BuPu,256
17,Sequential,GnBu,256
18,Sequential,PuBu,256
19,Sequential,YlGnBu,256
20,Sequential,PuBuGn,256
21,Sequential,BuGn,256
22,Sequential,YlGn,256
23,SequentialTwo,binary,256
24,SequentialTwo,gist_yarg,256
25,SequentialTwo,gist_gray,256
26,SequentialTwo,gray,256
27,SequentialTwo,bone,256
28,SequentialTwo,pink,256
29,SequentialTwo,spring,256
30,SequentialTwo,summer,256
31,SequentialTwo,autumn,256
32,SequentialTwo,winter,256
33,SequentialTwo,cool,256
34,SequentialTwo,Wistia,256
35,SequentialTwo,hot,256
36,SequentialTwo,afmhot,256
37,SequentialTwo,gist_heat,256
38,SequentialTwo,copper,256
39,Diverging,PiYG,256
40,Diverging,PRGn,256
41,Diverging,BrBG,256
42,Diverging,PuOr,256
43,Diverging,RdGy,256
44,Diverging,RdBu,256
45,Diverging,RdYlBu,256
46,Diverging,RdYlGn,256
47,Diverging,Spectral,256
48,Diverging,coolwarm,256
49,Diverging,bwr,256
50,Diverging,seismic,256
51,Cyclic,twilight,510
52,Cyclic,twilight_shifted,510
53,Cyclic,hsv,256
54,Qualitative,Pastel1,9
55,Qualitative,Pastel2,8
56,Qualitative,Paired,12
57,Qualitative,Accent,8
58,Qualitative,Dark2,8
59,Qualitative,Set1,9
60,Qualitative,Set2,8
61,Qualitative,Set3,12
62,Qualitative,tab10,10
63,Qualitative,tab20,20
64,Qualitative,tab20b,20
65,Qualitative,tab20c,20
66,Miscellaneous,flag,256
67,Miscellaneous,prism,256
68,Miscellaneous,ocean,256
69,Miscellaneous,gist_earth,256
70,Miscellaneous,terrain,256
71,Miscellaneous,gist_stern,256
72,Miscellaneous,gnuplot,256
73,Miscellaneous,gnuplot2,256
74,Miscellaneous,CMRmap,256
75,Miscellaneous,cubehelix,256
76,Miscellaneous,brg,256
77,Miscellaneous,gist_rainbow,256
78,Miscellaneous,rainbow,256
79,Miscellaneous,jet,256
80,Miscellaneous,turbo,256
81,Miscellaneous,nipy_spectral,256
82,Miscellaneous,gist_ncar,256
